Client 27,file110k1.txt,18,10,36,11,34,
Client 79,file110k1.txt,33,33,13,34,28,
Client 86,file110k1.txt,9,35,13,33,9,
Client 124,file110k2.txt,9,31,21,29,23,
Client 104,file110k3.txt,28,13,35,33,29,
Client 49,file110k3.txt,33,33,32,28,29,
Client 92,file110k3.txt,17,14,45,29,26,
Client 142,file110k4.txt,33,34,32,32,27,
Client 78,file110k4.txt,35,27,33,27,33,
Client 120,file110k5.txt,33,33,9,34,51,
Client 61,file110k5.txt,22,31,28,27,12,
Client 107,file130k1.txt,34,32,15,37,36,
Client 114,file130k1.txt,31,36,37,30,36,
Client 119,file130k1.txt,31,34,37,10,36,
Client 13,file130k1.txt,36,22,30,33,35,
Client 131,file130k1.txt,31,30,30,37,16,
Client 14,file130k1.txt,12,35,39,21,31,
Client 41,file130k1.txt,12,9,13,21,35,
Client 60,file130k1.txt,18,35,33,10,13,
Client 84,file130k1.txt,46,9,37,30,36,
Client 122,file130k2.txt,36,32,33,38,37,
Client 134,file130k2.txt,9,45,31,32,37,
Client 15,file130k2.txt,9,38,29,17,16,
Client 35,file130k2.txt,10,37,38,31,37,
Client 37,file130k2.txt,39,10,31,16,32,
Client 0,file130k3.txt,61,18,43,18,35,
Client 116,file130k3.txt,10,35,36,32,32,
Client 33,file130k3.txt,13,33,37,11,32,
Client 48,file130k3.txt,40,32,38,32,37,
Client 126,file130k4.txt,38,40,38,35,14,
Client 140,file130k4.txt,37,37,96,36,36,
Client 26,file130k4.txt,35,10,32,23,35,
Client 45,file130k4.txt,37,32,31,37,37,
Client 52,file130k4.txt,30,32,36,23,22,
Client 90,file130k4.txt,11,37,38,12,37,
Client 18,file130k5.txt,11,11,33,28,15,
Client 40,file130k5.txt,14,10,22,14,33,
Client 73,file130k5.txt,37,22,21,34,41,
Client 80,file130k5.txt,36,38,38,11,33,
Client 85,file130k5.txt,41,40,18,37,34,
Client 71,file1m1.txt,74,112,93,56,62,
Client 91,file1m1.txt,91,54,100,71,89,
Client 32,file1m2.txt,98,59,87,89,109,
Client 72,file1m2.txt,89,56,94,107,73,
Client 74,file1m2.txt,81,98,91,95,88,
Client 10,file1m3.txt,110,80,106,187,99,
Client 118,file1m3.txt,101,93,55,99,108,
Client 137,file1m3.txt,77,95,175,96,86,
Client 146,file1m3.txt,88,82,89,88,93,
Client 25,file1m3.txt,102,57,67,93,88,
Client 70,file1m3.txt,113,56,93,95,88,
Client 83,file1m3.txt,52,72,87,82,89,
Client 11,file1m4.txt,107,56,89,95,97,
Client 16,file1m4.txt,58,58,94,72,90,
Client 82,file1m4.txt,66,56,89,91,89,
Client 102,file1m5.txt,102,90,89,92,102,
Client 113,file1m5.txt,98,89,103,54,98,
Client 59,file1m5.txt,106,93,90,87,93,
Client 6,file1m5.txt,99,73,113,103,91,
Client 94,file1m5.txt,95,75,112,93,55,
Client 2,file200k1.txt,48,39,57,20,80,
Client 22,file200k1.txt,41,16,60,13,45,
Client 44,file200k1.txt,45,39,42,24,44,
Client 62,file200k1.txt,41,40,50,44,37,
Client 77,file200k1.txt,13,43,46,42,41,
Client 88,file200k1.txt,19,21,44,48,25,
Client 115,file200k2.txt,25,36,34,40,13,
Client 117,file200k2.txt,49,43,39,37,18,
